original_stem,tidied,top_score,suggested_display,suggested_artist,suggested_title,year,genre
10cc - Dreadlock holiday mp3cdg,10cc - Dreadlock holiday mp3cdg,0,,,,,
10cc - Dreadlock holiday zip test,10cc - Dreadlock holiday zip test,0,,,,,
10cc - Dreadlock holiday,10cc - Dreadlock holiday,130,10cc - Dreadlock Holiday,10cc,Dreadlock Holiday,1978,Pop
10cc - I'm Not In Love - Copy,10cc - I'm Not In Love - Copy,0,,,,,
10cc - I'm Not In Love,10cc - I'm Not In Love,130,10cc - I'm Not in Love,10cc,I'm Not in Love,1975,Soundtrack
50 Cent - 21 Questions,50 Cent - 21 Questions,115,50 Cent - 21 Questions (feat. Nate Dogg),50 Cent,21 Questions (feat. Nate Dogg),2003,Hip-Hop/Rap
A-Ha - Take On Me,A-Ha - Take On Me,130,a-ha - Take On Me,a-ha,Take On Me,1985,Pop
AAA Ass Test,AAA Ass Test,0,S.S.S Bass Test - Silicon,Silicon,S.S.S Bass Test,2009,Electronic
AAA sample AVI test,AAA sample AVI test,0,,,,,
AAA sample MKV,AAA sample MKV,0,,,,,
AAA sample MOV,AAA sample MOV,0,,,,,
AAA sample WEBM,AAA sample WEBM,0,,,,,
ABBA - Dancing Queen,ABBA - Dancing Queen,130,ABBA - Dancing Queen,ABBA,Dancing Queen,1976,Pop
ABBA - Fernando (Karaoke Version) [BcpOsRLTBZA],ABBA - Fernando,130,ABBA - Fernando,ABBA,Fernando,1976,Pop
ABBA - Fernando (Karaoke Version)---BcpOsRLTBZA,ABBA - Fernando,130,ABBA - Fernando,ABBA,Fernando,1976,Pop
ABBA - Fernando (Official Lyric Video)---40Z5cWP4IqQ,ABBA - Fernando,130,ABBA - Fernando,ABBA,Fernando,1976,Pop
ABBA - Gimme Gimme Gimme,ABBA - Gimme Gimme Gimme,110,ABBA - Gimme! Gimme! Gimme! (A Man After Midnight),ABBA,Gimme! Gimme! Gimme! (A Man After Midnight),1979,Pop
"ABBA - Knowing Me, Knowing You","ABBA - Knowing Me, Knowing You",130,"ABBA - Knowing Me, Knowing You",ABBA,"Knowing Me, Knowing You",1976,Pop
ABBA - Mamma Mia,ABBA - Mamma Mia,130,ABBA - Mamma Mia,ABBA,Mamma Mia,1975,Pop
ABBA - The Winner Takes It All,ABBA - The Winner Takes It All,130,ABBA - The Winner Takes It All,ABBA,The Winner Takes It All,1980,Pop
ABBA - Waterloo,ABBA - Waterloo,130,ABBA - Waterloo,ABBA,Waterloo,1974,Pop
ABC - The Look of Love,ABC - The Look of Love,120,ABC - The Look Of Love (Re-Recorded),ABC,The Look Of Love (Re-Recorded),1997,New Wave
ACDC - Highway To Hell,ACDC - Highway To Hell,120,AC/DC - Highway to Hell,AC/DC,Highway to Hell,1979,Hard Rock
Adam & The Ants - Stand and Deliver,Adam & The Ants - Stand and Deliver,100,Adam & The Ants - Stand and Deliver,Adam & The Ants,Stand and Deliver,1981,Pop
Adam Rickett - I Breathe Again,Adam Rickett - I Breathe Again,50,I Breathe Again - Adam Rickitt,Adam Rickitt,I Breathe Again,1999,Pop
Adele - Hello,Adele - Hello,130,Adele - Hello,Adele,Hello,2015,Pop
Adele - Make You Feel My Love,Adele - Make You Feel My Love,130,Adele - Make You Feel My Love,Adele,Make You Feel My Love,2008,Pop
Adele - Rolling in The Deep,Adele - Rolling in The Deep,130,Adele - Rolling in the Deep,Adele,Rolling in the Deep,2010,Pop
Adele - Someone Like You,Adele - Someone Like You,130,Adele - Someone Like You,Adele,Someone Like You,2011,Pop
Aerosmith - Angel,Aerosmith - Angel,130,Aerosmith - Angel,Aerosmith,Angel,1987,Hard Rock
Aerosmith - Love in an Elevator,Aerosmith - Love in an Elevator,130,Aerosmith - Love In an Elevator,Aerosmith,Love In an Elevator,1989,Rock
Al Green - Lets Stay Together,Al Green - Lets Stay Together,120,Al Green - Let's Stay Together,Al Green,Let's Stay Together,1971,Soul
Alanis Morissette - Ironic,Alanis Morissette - Ironic,130,Alanis Morissette - Ironic,Alanis Morissette,Ironic,1995,Alternative
Alannah Myles - Black Velvet,Alannah Myles - Black Velvet,130,Alannah Myles - Black Velvet,Alannah Myles,Black Velvet,1989,Rock
Alexis Jordan - Happiness,Alexis Jordan - Happiness,130,Alexis Jordan - Happiness,Alexis Jordan,Happiness,2010,Pop
Alice Cooper - Schools out,Alice Cooper - Schools out,120,Alice Cooper - School's Out,Alice Cooper,School's Out,1972,Hard Rock
"Alicia Keys - Empire State of Mind, Pt. 2","Alicia Keys - Empire State of Mind, Pt. 2",125,"Alicia Keys - Empire State of Mind, Pt. 2",Alicia Keys,"Empire State of Mind, Pt. 2",2009,R&B/Soul
Alicia Keys - Girl On Fire,Alicia Keys - Girl On Fire,125,Alicia Keys - Girl On Fire,Alicia Keys,Girl On Fire,2012,R&B/Soul
Alison Moyet - Love Letters,Alison Moyet - Love Letters,130,Alison Moyet - Love Letters,Alison Moyet,Love Letters,1987,Pop
All Saints - Never Ever,All Saints - Never Ever,130,All Saints - Never Ever,All Saints,Never Ever,1997,Dance
Alvin Stardust - My Coo-CaChoo,Alvin Stardust - My Coo-CaChoo,120,Alvin Stardust - My Coo Ca Choo,Alvin Stardust,My Coo Ca Choo,1974,Pop
Ami Stewart - Knock On Wood,Ami Stewart - Knock On Wood,50,Knock On Wood - Amii Stewart,Amii Stewart,Knock On Wood,1978,Soul
Amy Grant - Big Yellow Taxi,Amy Grant - Big Yellow Taxi,130,Amy Grant - Big Yellow Taxi,Amy Grant,Big Yellow Taxi,1994,Christian
Amy Winehouse  - Back To Black,Amy Winehouse - Back To Black,115,Amy Winehouse - Back To Black (Original Demo),Amy Winehouse,Back To Black (Original Demo),2007,R&B/Soul
Andy Williams - Music To Watch Girls By,Andy Williams - Music To Watch Girls By,130,Andy Williams - Music to Watch Girls By,Andy Williams,Music to Watch Girls By,1967,Vocal Pop
Animals - House Of The Rising Sun,Animals - House Of The Rising Sun,120,The Animals - House of the Rising Sun,The Animals,House of the Rising Sun,1963,British Invasion
Aretha Franklin & George Michael - I Knew You Were Waiting,Aretha Franklin & George Michael - I Knew You Were Waiting,115,Aretha Franklin & George Michael - I Knew You Were Waiting (For Me),Aretha Franklin & George Michael,I Knew You Were Waiting (For Me),1986,R&B/Soul
Aretha Franklin - Respect,Aretha Franklin - Respect,130,Aretha Franklin - Respect,Aretha Franklin,Respect,1967,Rock
Aretha Franklin - You Make Me Feel Like A Natural Woman,Aretha Franklin - You Make Me Feel Like A Natural Woman,110,Aretha Franklin - (You Make Me Feel Like) A Natural Woman,Aretha Franklin,(You Make Me Feel Like) A Natural Woman,1967,Soundtrack
Aristocats - Everybody Wants To Be A Cat,Aristocats - Everybody Wants To Be A Cat,55,"Everybody Wants To Be a Cat (From ""The Aristocats"") - Dimie Cat",Dimie Cat,"Everybody Wants To Be a Cat (From ""The Aristocats"")",2014,Dance
Aswad - Don't Turn Around,Aswad - Don't Turn Around,130,Aswad - Don't Turn Around,Aswad,Don't Turn Around,1988,Pop
Atomic Kitten - Whole Again,Atomic Kitten - Whole Again,130,Atomic Kitten - Whole Again,Atomic Kitten,Whole Again,2000,Pop
Avicii - Addicted To You,Avicii - Addicted To You,130,Avicii - Addicted To You,Avicii,Addicted To You,2013,House
Avicii - Waiting For Love,Avicii - Waiting For Love,130,Avicii - Waiting For Love,Avicii,Waiting For Love,2015,Dance
B52's - Love Shack,B52's - Love Shack,120,The B-52's - Love Shack,The B-52's,Love Shack,1989,Pop
Bachman Turner Overdrive - Takin' Care Of Business,Bachman Turner Overdrive - Takin' Care Of Business,130,Bachman-Turner Overdrive - Takin' Care of Business,Bachman-Turner Overdrive,Takin' Care of Business,1973,Rock
Bachman Turner Overdrive - You Aint Seen Nothing Yet,Bachman Turner Overdrive - You Aint Seen Nothing Yet,120,Bachman-Turner Overdrive - You Ain't Seen Nothing Yet,Bachman-Turner Overdrive,You Ain't Seen Nothing Yet,1974,Rock
Backstreet Boys - I Want It That Way,Backstreet Boys - I Want It That Way,130,Backstreet Boys - I Want It That Way,Backstreet Boys,I Want It That Way,1999,Pop
Backstreet Boys - Shape Of My Heart,Backstreet Boys - Shape Of My Heart,130,Backstreet Boys - Shape of My Heart,Backstreet Boys,Shape of My Heart,2000,Pop
Bananarama - Venus,Bananarama - Venus,130,Bananarama - Venus,Bananarama,Venus,1986,Pop
Barbra Streisand - Memory,Barbra Streisand - Memory,130,Barbra Streisand - Memory,Barbra Streisand,Memory,1981,Pop
Barbra Streisand - Woman In Love,Barbra Streisand - Woman In Love,130,Barbra Streisand - Woman In Love,Barbra Streisand,Woman In Love,1980,Vocal
Barry Manilow - Copacabana,Barry Manilow - Copacabana,120,Barry Manilow - Copacabana (At the Copa),Barry Manilow,Copacabana (At the Copa),1978,Easy Listening
Barry Manilow - Mandy,Barry Manilow - Mandy,130,Barry Manilow - Mandy,Barry Manilow,Mandy,1974,Vocal
